Meses,Zonas,Total_de_Chamadas,Numero de Chamadas Totais com progresso()
Anual,GEFRON PORTO ESPERIDIAO,44961,0
Anual,GEFRON SANTA LUZIA,66944,0
Anual,GEFRON NOVA ESPERANCA,9113,0
Anual,GEFRON CACERES CANIL,308053,0
Anual,GEFRON POSTINHO,1131,0
Anual,GEFRON ARAPUTANGA,114703,0
Anual,GEFRON MIRASOL D'OESTE,170173,0
Anual,SALTO DO CEU,17721,0
Anual,GEFRON CERRO VERDE,2141,0
Anual,GEFRON JAURU,13245,0
Anual,GEFRON ADRIANOPOLIS,18298,0
Anual,GEFRON PONTES DE LACERDA,66649,0
Anual,GEFRON FAZENDA GUAPORE,9245,0
Anual,GEFRON VILA BELA,25780,0
Anual,GEFRON POSTO MATO,10471,0
Anual,GEFRON PONTA DO ATERRO,901,0
Anual,GEFRON RIO BRANCO MORRO,60139,0
Anual,GEFRON COMODORO CLARO,11019,0