Meses,Zone,Total_de_chamadas,Numero_de_chamadas_com_progresso_feitas
Maio,GEFRON PORTO ESPERIDIAO,5183,0
Maio,GEFRON SANTA LUZIA,6421,0
maio,GEFRON NOVA ESPERANCA,1033,0
maio,GEFRON CACERES CANIL,31005,0
maio,GEFRON POSTINHO,91,0
maio,GEFRON ARAPUTANGA,11244,0
maio,GEFRON MIRASOL D'OESTE,12815,0
maio,GEFRON SALTO DO CEU,4508,0
maio,GEFRON CERRO VERDE,418,0
maio,GEFRON JAURU,2126,0
maio,GEFRON ADRIANOPOLIS,3058,0
maio,GEFRON PONTES DE LACERDA,10357,0
maio,GEFRON FAZENDA GUAPORE,1614,0
maio,GEFRON VILA BELA,3350,0
maio,GEFRON POSTO MATO,1058,0
maio,GEFRON PONTA DO ATERRO,111,0
maio,GEFRON RIO BRANCO MORRO,4318,0
maio,GEFRON COMODORO CLARO,626,0