Meses,Zonas,"Total_de_chamadas
",Numero_de_chamadas_com_progresso_feitas
Setembro,GEFRON SANTA LUZIA,6729,0
Setembro,GEFRON NOVA ESPERANCA,399,0
setembro,GEFRON CACERES CANIL,27031,0
setembro,GEFRON POSTINHO,84,0
setembro,GEFRON ARAPUTANGA,12302,0
setembro,GEFRON MIRASOL D'OESTE,31533,0
setembro,GEFRON JAURU,208,0
setembro,GEFRON ADRIANOPOLIS,433,0
setembro,GEFRON PONTES DE LACERDA,3875,0
setembro,GEFRON FAZENDA GUAPORE,166,0
setembro,GEFRON VILA BELA,336,0
setembro,GEFRON POSTO MATO,387,0
setembro,GEFRON PONTA DO ATERRO,1,0
setembro,GEFRON RIO BRANCO MORRO,2499,0
setembro,GEFRON COMODORO CLARO,1732,0