Meses,Zonas,Total de chamadas, Numero de Chamadas Totais com progresso(feita)
Anual,TJMT (CBA),1775845,0
Anual,MORRO DA LUZ (CBA),1410503,0
Anual,JARDIM GLORIA (VG),1129738,0
Anual,TRES BARRAS (CBA),1089325,0
Anual,BOA ESPERANCA (CBA),1082050,0
Anual,PARQUE LAGO (VG),1038670,0
Anual,VILA CANAÃ (VG),898956,0
Anual,DISTRITO INDUSTRIAL (CBA),848175,0
Anual,ARENA PANTANAL(CBA),816124,0
Anual,PEDRA 90 (CBA),686062,0
Anual,SÃO MATHEUS (VG),586539,0
Anual,SANTO ANTONIO LEVEGER,383568,0
Anual,SÃO JOSE RIO CLARO,382707,0
Anual,POCONE,371646,0
Anual,RONDONOPOLIS,332327,0
Anual,CHAPADA DO GUIMARAES,329206,0
Anual,NOVA MUTUM,300372,0
Anual,SINOP SBT,297213,0
Anual,TREVO CHAPADA,278601,0
Anual,SORRISO SBT,274347,0
Anual,RONDONOPOLIS 2,234815,0
Anual,SORRISO 2,204120,0
Anual,LIVRAMENTO,188053,0
Anual,BARRA DO GARCA 1,177608,0
Anual,SÃO JOSE DO POVO,174404,0
Anual,AGROVILA PALMEIRAS,167618,0
Anual,SINOP CLARO,162831,0
Anual,TESOURO,158428,0
Anual,BARRA DO GARCA 2,155782,0
Anual,BARAO MELGAÇO,152344,0
Anual,REP 2 ROTA OESTE (ANHUMAS),152331,0
Anual,VERA,147742,0
Anual,DISTRITO DA GUIA,143951,0
Anual,ALTO TAQUARI,143707,0
Anual,UNIAO DO SUL,142766,0
Anual,ROSARIO OESTE,138189,0
Anual,GUIRATINGA,135048,0
Anual,ALTO ARAGUAIA,134325,0
Anual,LUCAS DO RIO VERDE,134031,0
Anual,ITIQUIRA,133063,0
Anual,DOM AQUINO(PEDRA PRETA),128876,0
Anual,NOBRES,127461,0
Anual,COXIPO DO OURO (CBA),126651,0
Anual,JACIARA,122940,0
Anual,ARAGUAIANA,116317,0
Anual,CLAUDIA,115914,0
Anual,ALTO GARÇAS,115527,0
Anual,FELIZ NATAL,108359,0
Anual,PRF020291(OURO BRANCO),105018,0