Meses,Zonas,Total Chamados por Zona,Numero de Chamadas com Progreso(feitas)
Junho,TJMT (CBA),205889,49425
Junho,MORRO DA LUZ (CBA),179371,24329
Junho,DISTRITO INDUSTRIAL (CBA),103427,24100
Junho,RONDONOPOLIS,40300,15399
Junho,BARRA DO GARCA 1,17891,11414
Junho,RONDONOPOLIS 2,32853,11015
Junho,SINOP SBT,40924,11014
Junho,TRES BARRAS (CBA),136542,10128
Junho,NOVA MUTUM,34687,5964
Junho,ARENA PANTANAL(CBA),92732,5621
Junho,PARQUE LAGO (VG),139133,5172
Junho,VILA CANAÃ (VG),97159,5147
Junho,BOA ESPERANCA (CBA),140968,5131
Junho,PRIMAVERA DO LESTE,9979,5096
Junho,SORRISO SBT,30261,5004
Junho,NOBRES,14726,4765
Junho,SÃO MATHEUS (VG),82549,4630
Junho,LUCAS DO RIO VERDE,15260,4603
Junho,JARDIM GLORIA (VG),119125,4485
Junho,SORRISO 2,23202,3801
Junho,BARRA DO GARCA 2,15872,3312
Junho,SINOP CLARO,18741,3264
Junho,REP 2 ROTA OESTE (ANHUMAS),18355,2771
Junho,PEDRA 90 (CBA),79792,2512
Junho,CAMPO VERDE,11159,2238
Junho,POCONE,41752,1855
Junho,JACIARA,14490,1769
Junho,SERRA BEROABA (RONDONOPOLIS),13462,1625
Junho,DIAMANTINO(VELHO),5441,907
Junho,SANTO ANTONIO LEVEGER,48902,901
Junho,ROSARIO OESTE,13148,895
Junho,ALTO ARAGUAIA,24479,837
Junho,PARANATINGA,3539,792
Junho,CHAPADA DO GUIMARAES,23721,547
Junho,DIAMANTINO(NOVO),3640,515
Junho,COXIPO DO OURO (CBA),38795,490
Junho,ITANHANGA,7772,459
Junho,PRF020195 (JACIARA),7394,456
Junho,PRF020472 - LUCAS DO RIO VERDE,5109,443
Junho,SANTA RITA DO TRIVELATO,10972,422
Junho,JANGADA,5156,406
Junho,TREVO CHAPADA,42819,325
Junho,BOA ESPERANCA (MUNICIPIO),17436,282
Junho,NOVA UBIRATA,12791,281
Junho,TAPURAH,8038,281
Junho,ALTO PARAGUAI,3392,266
Junho,LIVRAMENTO,23764,256
Junho,DISTRITO DA GUIA,21078,250
Junho,ACORIZAL,12145,246
Junho,ARAGUAIANA,11043,245
Junho,JUSCIMEIRA,10488,219
Junho,SANTIAGO NORTE,2847,207
Junho,NOVA MARINGA,8474,184
Junho,ARENAPOLIS,5962,174
Junho,DOM AQUINO(PEDRA PRETA),20648,145
Junho,GAUCHA NORTE,1410,136
Junho,PRF020694 (SORRISO PEDAGIO),6144,133
Junho,NORTELANDIA,8804,132
Junho,POXOREO,10938,125
Junho,IPIRANGA DO NORTE,10165,124
Junho,PRF020475 (NOVA MUTUM),1746,124
Junho,PRF 020894 (TABAZUL),8908,122
Junho,GENERAL CARNEIRO,11298,112
Junho,SANTO AFONSO,8122,107
Junho,SANTO ANTONIO LESTE,5410,107
Junho,TORIXOREU,11196,106
Junho,BARAO MELGAÇO,14277,106
Junho,PRF020695 - SINOP,1743,106
Junho,DECIOLANDIA,6090,101
Junho,NOVA SÃO JOAQUIM,11198,92
Junho,SÃO JOSE RIO CLARO,7612,88
Junho,CLAUDIA,16913,87
Junho,SANTA ELVIRA (JUSCIMEIRA),6281,82
Junho,RANCHAO,4902,78
Junho,PRF020697 - SINOP,1489,75
Junho,RIBEIRAOZINHO,10628,72
Junho,PRF020693 (UOP SORRISO),1836,70
Junho,PRF020479 - SAU 12,1095,69
Junho,SÃO LOURENCO FATIMA(JUSCIMEIRA),8255,64
Junho,UNIAO DO SUL,18221,56
Junho,BAUXI,1735,56
Junho,DOM AQUINO - 020598,1037,51
Junho,PRF020478(DIAMANTINO),706,49
Junho,ANA TERRA,3763,42
Junho,TREVO DE LIBRA(S.JOSE.R. CLARO),724,42
Junho,NOVA MARILANDIA,7150,41
Junho,PLANALTO DA SERRA,7345,41
Junho,POSTO GIL,1860,37
Junho,ALTO TAQUARI,17161,30
Junho,PRF020472 - SAU 14,1956,29
Junho,MANSO,14559,27
Junho,PRF020291(OURO BRANCO),16174,27
Junho,BOM JARDIM,6495,25
Junho,GROSLANDIA,1678,25
Junho,PONTAL DO MARAPE,384,23
Junho,VERA,15865,21
Junho,AGROVILA PALMEIRAS,6609,19
Junho,SANTA CARMEN,8516,19
Junho,FELIZ NATAL,11525,17
Junho,PRF020476(NOVA MARILANDIA),1599,14
Junho,ITIQUIRA,16181,12
Junho,SÃO JOSE DO POVO,15828,12
Junho,PONTE BRANCA (PEDRA PRETA),7490,10
Junho,NOVA BRASILANDIA,2089,10
Junho,ERB MOVEL,201,9
Junho,GUIRATINGA,14719,8
Junho,ALTO GARÇAS,12743,7
Junho,JADURE,287,7
Junho,DIAMANTINO (EX-PRF),291,6
Junho,TESOURO,18169,2
Junho,ARAGUAINA,1400,0
Junho,ALTO ARAGUAIA - 020294,706,0