Meses,Zonas,Total Chamadas,Numero Total de Chamadas (feitas)
Maio,TJMT (CBA),205067,50248
Maio,DISTRITO INDUSTRIAL (CBA),107980,29084
Maio,MORRO DA LUZ (CBA),173962,20570
Maio,RONDONOPOLIS,43530,16890
Maio,SINOP SBT,47277,12854
Maio,BARRA DO GARCA 1,23304,12743
Maio,RONDONOPOLIS 2,33506,11957
Maio,SÃO MATHEUS (VG),57018,8905
Maio,TRES BARRAS (CBA),142610,8728
Maio,PARQUE LAGO (VG),125933,6316
Maio,ARENA PANTANAL(CBA),95785,6012
Maio,BOA ESPERANCA (CBA),120037,5856
Maio,NOBRES,15115,5782
Maio,SORRISO SBT,35504,5745
Maio,NOVA MUTUM,33023,5741
Maio,PRIMAVERA DO LESTE,11599,5668
Maio,VILA CANAÃ (VG),93802,5435
Maio,LUCAS DO RIO VERDE,14103,5315
Maio,SORRISO 2,31595,5202
Maio,SINOP CLARO,20953,4033
Maio,JARDIM GLORIA (VG),105446,3826
Maio,BARRA DO GARCA 2,19940,3095
Maio,PEDRA 90 (CBA),88797,2814
Maio,CAMPO VERDE,9034,1978
Maio,JACIARA,16668,1889
Maio,POCONE,34420,1837
Maio,SERRA BEROABA (RONDONOPOLIS),14361,1391
Maio,DIAMANTINO(VELHO),5563,1065
Maio,REP 2 ROTA OESTE (ANHUMAS),17156,1043
Maio,ALTO ARAGUAIA,28220,861
Maio,ROSARIO OESTE,11551,757
Maio,PARANATINGA,2530,727
Maio,SANTO ANTONIO LEVEGER,39981,709
Maio,TAPURAH,7970,651
Maio,ARENAPOLIS,10279,581
Maio,ITANHANGA,7384,488
Maio,PRF020195 (JACIARA),8746,463
Maio,JADURE,2312,420
Maio,NOVA MARINGA,8814,401
Maio,JANGADA,4718,390
Maio,CHAPADA DO GUIMARAES,20875,377
Maio,ALTO PARAGUAI,3892,357
Maio,ARAGUAIANA,9407,335
Maio,PRF020472 - LUCAS DO RIO VERDE,4388,329
Maio,DOM AQUINO(PEDRA PRETA),22590,309
Maio,NOVA UBIRATA,15524,285
Maio,JUSCIMEIRA,12541,282
Maio,DIAMANTINO(NOVO),3586,275
Maio,DISTRITO DA GUIA,22740,255
Maio,ACORIZAL,11053,252
Maio,LIVRAMENTO,22050,239
Maio,GENERAL CARNEIRO,12713,234
Maio,POXOREO,12333,230
Maio,GAUCHA NORTE,2033,223
Maio,TORIXOREU,12664,214
Maio,NOVA SÃO JOAQUIM,12525,201
Maio,PRF020894 (TABAZUL),11166,180
Maio,BOA ESPERANCA (MUNICIPIO),13680,172
Maio,SANTA RITA DO TRIVELATO,6859,148
Maio,TREVO CHAPADA,31665,143
Maio,DECIOLANDIA,4604,124
Maio,COXIPO DO OURO (CBA),15778,120
Maio,IPIRANGA DO NORTE,10556,117
Maio,SANTO AFONSO,9123,115
Maio,RIBEIRAOZINHO,12034,114
Maio,SÃO LOURENCO FATIMA(JUSCIMEIRA),7595,113
Maio,SÃO JOSE RIO CLARO,6155,107
Maio,PRF020695 - SINOP,1276,103
Maio,SANTA ELVIRA (JUSCIMEIRA),6386,100
Maio,PRF020693 (UOP SORRISO),1928,90
Maio,UNIAO DO SUL,18557,88
Maio,BOM JARDIM,16685,79
Maio,SANTIAGO NORTE,1391,73
Maio,BAUXI,878,69
Maio,ANA TERRA,4858,65
Maio,NORTELANDIA,9128,65
Maio,NOVA MARILANDIA,8929,62
Maio,PRF020697 - SINOP,1413,62
Maio,PRF020694 (SORRISO PEDAGIO),7373,62
Maio,SANTA CARMEN,11056,59
Maio,ALTO TAQUARI,15752,58
Maio,SÃO JOSE DO POVO,21019,57
Maio,RANCHAO,4764,51
Maio,PRF020475 (NOVA MUTUM),789,49
Maio,PRF020476(NOVA MARILANDIA),1345,48
Maio,VERA,18099,46
Maio,BARAO MELGAÇO,16453,40
Maio,DOM AQUINO - 020598,1169,40
Maio,CLAUDIA,17027,39
Maio,NOVA BRASILANDIA,434,38
Maio,SANTO ANTONIO LESTE,5749,34
Maio,ITIQUIRA,18519,33
Maio,PRF020478(DIAMANTINO),753,29
Maio,POSTO GIL,1980,29
Maio,PONTE BRANCA (PEDRA PRETA),8891,28
Maio,GROSLANDIA,363,24
Maio,ALTO GARÇAS,18784,21
Maio,PRF020291(OURO BRANCO),23729,20
Maio,ALTO ARAGUAIA - 020294,1286,20
Maio,PONTAL DO MARAPE,214,17
Maio,TREVO DE LIBRA(S.JOSE.R. CLARO),352,17
Maio,PRF020479 - SAU 12,827,16
Maio,PRF020472 - SAU 14,1669,13
Maio,GUIRATINGA,19730,11
Maio,PLANALTO DA SERRA,467,9
Maio,DIAMANTINO (EX-PRF),426,7
Maio,AGROVILA PALMEIRAS,8208,4
Maio,MANSO,3436,4
Maio,TESOURO,19699,2
Maio,BRIANORTE,397,2
Maio,ARAGUAINA,1726,1
Maio,FELIZ NATAL,12878,1
Maio,DOM AQUINO,38,0