Meses,Zonas,Total de chamadas,Número de chamadas com progresso (feitas)
Fevereiro,ARENA PANTANAL(CBA),94714,4916
Fevereiro,MORRO DA LUZ (CBA),223599,21585
Fevereiro,JARDIM GLORIA (VG),169923,5010
Fevereiro,DISTRITO DA GUIA,18061,193
Fevereiro,TJMT (CBA),251783,54394
Fevereiro,TREVO CHAPADA,31196,254
Fevereiro,SÃO MATHEUS (VG),60288,2192
Fevereiro,COXIPO DO OURO (CBA),11216,59
Fevereiro,BOA ESPERANCA (CBA),141057,7026
Fevereiro,VILA CANAÃ (VG),104160,6513
Fevereiro,BARRA DO GARCA 1,20808,12510
Fevereiro,BARRA DO GARCA 2,18235,2900
Fevereiro,GENERAL CARNEIRO,12711,191
Fevereiro,NOVA SÃO JOAQUIM,12177,79
Fevereiro,RIBEIRAOZINHO,11762,32
Fevereiro,TORIXOREU,12299,162
Fevereiro,ALTO PARAGUAI,7396,552
Fevereiro,ARENAPOLIS,10059,613
Fevereiro,DECIOLANDIA,5477,88
Fevereiro,PRF020193 - UFMT ROO,16602,7016
Fevereiro,PARQUE LAGO (VG),137321,7715
Fevereiro,CHAPADA DO GUIMARAES,32497,558
Fevereiro,TRES BARRAS (CBA),166356,11142
Fevereiro,NOVA MUTUM,17017,7070
Fevereiro,LUCAS DO RIO VERDE,22362,5743
Fevereiro,DIAMANTINO(NOVO),5842,576
Fevereiro,NOVA MARILANDIA,23752,5
Fevereiro,NOVA MARINGA,3856,18
Fevereiro,SANTA RITA DO TRIVELATO,8101,46
Fevereiro,SANTO AFONSO,7027,12
Fevereiro,DISTRITO INDUSTRIAL (CBA),105233,24672
Fevereiro,AGROVILA PALMEIRAS,6785,23
Fevereiro,BARAO MELGAÇO,17321,49
Fevereiro,PLANALTO DA SERRA,3801,37
Fevereiro,PRIMAVERA DO LESTE,14488,6668
Fevereiro,SÃO JOSE RIO CLARO,10712,106
Fevereiro,CAMPO VERDE,10384,2492
Fevereiro,GAUCHA NORTE,2094,59
Fevereiro,ACORIZAL,8057,102
Fevereiro,PARANATINGA,3835,882
Fevereiro,POXOREO,7842,30
Fevereiro,SANTO ANTONIO LESTE,6756,11
Fevereiro,ALTO ARAGUAIA,16914,1087
Fevereiro,ALTO GARÇAS,13444,10
Fevereiro,ALTO TAQUARI,17489,26
Fevereiro,ARAGUAINA,2271,3
Fevereiro,DOM AQUINO,1912,65
Fevereiro,GUIRATINGA,21068,18
Fevereiro,ITIQUIRA,20092,35
Fevereiro,JACIARA,14230,1760
Fevereiro,JUSCIMEIRA,8781,209
Fevereiro,DOM AQUINO(PEDRA PRETA),21726,73
Fevereiro,PONTE BRANCA (PEDRA PRETA),4118,0
Fevereiro,JANGADA,5265,262
Fevereiro,NOBRES,25736,6889
Fevereiro,LIVRAMENTO,30600,380
Fevereiro,SÃO JOSE DO POVO,21569,36
Fevereiro,TESOURO,20568,9
Fevereiro,CLAUDIA,8054,29
Fevereiro,UNIAO DO SUL,21187,38
Fevereiro,IPIRANGA DO NORTE,10051,45
Fevereiro,ANA TERRA,2142,6
Fevereiro,NOVA UBIRATA,12736,42
Fevereiro,NOVA BRASILANDIA,1762,33
Fevereiro,MANSO,14520,10
Fevereiro,SANTA CARMEN,13196,61
Fevereiro,TAPURAH,7259,170
Fevereiro,FELIZ NATAL,21250,30
Fevereiro,VERA,16974,33
Fevereiro,PEDRA 90 (CBA),96612,2907
Fevereiro,POCONE,38422,758
Fevereiro,ROSARIO OESTE,10092,791
Fevereiro,SANTO ANTONIO LEVEGER,38348,663
Fevereiro,SINOP SBT,41980,14045
Fevereiro,SORRISO SBT,47659,4645
Fevereiro,ARAGUAIANA,11786,272
Fevereiro,PONTAL DO MARAPE,116,0
Fevereiro,BAUXI,1071,11
Fevereiro,NORTELANDIA,10098,96
Fevereiro,DIAMANTINO(VELHO),8512,1628
Fevereiro,RANCHAO,6195,15
Fevereiro,TREVO DE LIBRA(S.JOSE.R. CLARO),498,5
Fevereiro,PRF020476(NOVA MARILANDIA),1214,66
Fevereiro,PRF020478(DIAMANTINO),7971,88
Fevereiro,PRF020472 - SAU 14,1764,92
Fevereiro,DIAMANTINO (EX-PRF),1019,29
Fevereiro,POSTO GIL,2895,111
Fevereiro,PRF020291(OURO BRANCO),22774,31
Fevereiro,JADURE,165,4
Fevereiro,DOM AQUINO - 020598,799,30
Fevereiro,SINOP CLARO,22766,4178
Fevereiro,SORRISO 2,31920,5581
Fevereiro,BOM JARDIM,12537,62
Fevereiro,PRF020195 (JACIARA),6026,212
Fevereiro,SERRA BEROABA (RONDONOPOLIS),9622,677
Fevereiro,ALTO ARAGUAIA - 020294,1090,14
Fevereiro,RONDONOPOLIS,43631,13695
Fevereiro,SÃO LOURENCO FATIMA(JUSCIMEIRA),3963,20
Fevereiro,SANTA ELVIRA (JUSCIMEIRA),4219,68
Fevereiro,ITANHANGA,7281,39
Fevereiro,GROSLANDIA,439,44
Fevereiro,PRF020697 - SINOP,948,127
Fevereiro,PRF020695 - SINOP,2396,153
Fevereiro,PRF020472 - LUCAS DO RIO VERDE,6592,633
Fevereiro,BOA ESPERANCA (MUNICIPIO),10163,31
Fevereiro,PRF020694 (SORRISO PEDAGIO),11738,215
Fevereiro,PRF020693 (UOP SORRISO),1363,181
Fevereiro,PRF020479 - SAU 12,1068,48
Fevereiro,BRIANORTE,2676,0
Fevereiro,PRF020475 (NOVA MUTUM),1183,91
Fevereiro,PRF020894 (TABAZUL),9728,162
Fevereiro,REP 2 ROTA OESTE (ANHUMAS),10841,645
Fevereiro,SANTIAGO NORTE,1329,31
Fevereiro,RONDONOPOLIS 2,34577,11503
Fevereiro,ERB MOVEL,10,5